environment | t (second),environment | Nai (mM),environment | v_cyc_nak (per_second)
21.9,21.9,25.8424
22,22,25.9698
22.1,22.1,26.0969
22.2,22.2,26.2237
22.3,22.3,26.3503
22.4,22.4,26.4766
22.5,22.5,26.6026
22.6,22.6,26.7283
22.7,22.7,26.8537
22.8,22.8,26.9788
22.9,22.9,27.1036
23,23,27.2282
23.1,23.1,27.3525
23.2,23.2,27.4764
23.3,23.3,27.6001
23.4,23.4,27.7235
23.5,23.5,27.8467
23.6,23.6,27.9695
23.7,23.7,28.092
23.8,23.8,28.2143
23.9,23.9,28.3363
24,24,28.458
24.1,24.1,28.5794
24.2,24.2,28.7005
24.3,24.3,28.8213
24.4,24.4,28.9419
24.5,24.5,29.0622
24.6,24.6,29.1821
24.7,24.7,29.3018
24.8,24.8,29.4213
24.9,24.9,29.5404
25,25,29.6592
25.1,25.1,29.7778
25.2,25.2,29.8961
25.3,25.3,30.0141
25.4,25.4,30.1318
25.5,25.5,30.2492
25.6,25.6,30.3664
25.7,25.7,30.4833
25.8,25.8,30.5999
25.9,25.9,30.7162
26,26,30.8322
26.1,26.1,30.948
26.2,26.2,31.0634
26.3,26.3,31.1786
26.4,26.4,31.2935
26.5,26.5,31.4082
26.6,26.6,31.5225
26.7,26.7,31.6366
26.8,26.8,31.7504
26.9,26.9,31.864
27,27,31.9772
27.1,27.1,32.0902
27.2,27.2,32.2029
27.3,27.3,32.3154
27.4,27.4,32.4275
27.5,27.5,32.5394
27.6,27.6,32.651
27.7,27.7,32.7624
27.8,27.8,32.8734
27.9,27.9,32.9842
28,28,33.0948
28.1,28.1,33.205
28.2,28.2,33.315
28.3,28.3,33.4247
28.4,28.4,33.5342
28.5,28.5,33.6434
28.6,28.6,33.7523
28.7,28.7,33.861
28.8,28.8,33.9693
28.9,28.9,34.0775
29,29,34.1853
29.1,29.1,34.2929
29.2,29.2,34.4002
29.3,29.3,34.5073
29.4,29.4,34.6141
29.5,29.5,34.7207
29.6,29.6,34.8269
29.7,29.7,34.933
29.8,29.8,35.0387
29.9,29.9,35.1442
30,30,35.2495
30.1,30.1,35.3544
30.2,30.2,35.4592
30.3,30.3,35.5636
30.4,30.4,35.6678
30.5,30.5,35.7718
30.6,30.6,35.8755
30.7,30.7,35.9789
30.8,30.8,36.0821
30.9,30.9,36.1851
31,31,36.2878
31.1,31.1,36.3902
31.2,31.2,36.4924
31.3,31.3,36.5943
31.4,31.4,36.696
31.5,31.5,36.7974
31.6,31.6,36.8986
31.7,31.7,36.9996
31.8,31.8,37.1003
31.9,31.9,37.2007
32,32,37.3009
32.1,32.1,37.4008
32.2,32.2,37.5006
32.3,32.3,37.6
32.4,32.4,37.6992
32.5,32.5,37.7982
32.6,32.6,37.8969
32.7,32.7,37.9954
32.8,32.8,38.0937
32.9,32.9,38.1917
33,33,38.2895
33.1,33.1,38.387
33.2,33.2,38.4843
33.3,33.3,38.5813
33.4,33.4,38.6782
33.5,33.5,38.7747
33.6,33.6,38.8711
33.7,33.7,38.9672
33.8,33.8,39.0631
33.9,33.9,39.1587
34,34,39.2541
34.1,34.1,39.3493
34.2,34.2,39.4443
34.3,34.3,39.539
34.4,34.4,39.6335
34.5,34.5,39.7277
34.6,34.6,39.8217
34.7,34.7,39.9155
34.8,34.8,40.0091
34.9,34.9,40.1024
35,35,40.1955
35.1,35.1,40.2884
35.2,35.2,40.3811
35.3,35.3,40.4735
35.4,35.4,40.5658
35.5,35.5,40.6577
35.6,35.6,40.7495
35.7,35.7,40.8411
35.8,35.8,40.9324
35.9,35.9,41.0235
36,36,41.1144
36.1,36.1,41.205
36.2,36.2,41.2955
36.3,36.3,41.3857
36.4,36.4,41.4757
36.5,36.5,41.5655
36.6,36.6,41.6551
36.7,36.7,41.7444
36.8,36.8,41.8336
36.9,36.9,41.9225
37,37,42.0112
37.1,37.1,42.0997
37.2,37.2,42.188
37.3,37.3,42.2761
37.4,37.4,42.364
37.5,37.5,42.4516
37.6,37.6,42.5391
37.7,37.7,42.6263
37.8,37.8,42.7133
37.9,37.9,42.8002
38,38,42.8868
38.1,38.1,42.9732
38.2,38.2,43.0594
38.3,38.3,43.1454
38.4,38.4,43.2312
38.5,38.5,43.3168
38.6,38.6,43.4021
38.7,38.7,43.4873
38.8,38.8,43.5723
38.9,38.9,43.6571
39,39,43.7416
39.1,39.1,43.826
39.2,39.2,43.9102
39.3,39.3,43.9941
39.4,39.4,44.0779
39.5,39.5,44.1615
39.6,39.6,44.2449
39.7,39.7,44.3281
39.8,39.8,44.411
39.9,39.9,44.4938
40,40,44.5764
40.1,40.1,44.6588
40.2,40.2,44.741
40.3,40.3,44.823
40.4,40.4,44.9048
40.5,40.5,44.9865
40.6,40.6,45.0679
40.7,40.7,45.1491
40.8,40.8,45.2302
40.9,40.9,45.3111
41,41,45.3917
41.1,41.1,45.4722
41.2,41.2,45.5525
41.3,41.3,45.6326
41.4,41.4,45.7125
41.5,41.5,45.7923
41.6,41.6,45.8718
41.7,41.7,45.9512
41.8,41.8,46.0303
41.9,41.9,46.1093
42,42,46.1881
42.1,42.1,46.2668
42.2,42.2,46.3452
42.3,42.3,46.4235
42.4,42.4,46.5015
42.5,42.5,46.5794
42.6,42.6,46.6572
42.7,42.7,46.7347
42.8,42.8,46.8121
42.9,42.9,46.8892
43,43,46.9662
43.1,43.1,47.0431
43.2,43.2,47.1197
43.3,43.3,47.1962
43.4,43.4,47.2725
43.5,43.5,47.3486
43.6,43.6,47.4245
43.7,43.7,47.5003
43.8,43.8,47.5759
43.9,43.9,47.6513
44,44,47.7266
44.1,44.1,47.8017
44.2,44.2,47.8766
44.3,44.3,47.9513
44.4,44.4,48.0259
44.5,44.5,48.1003
44.6,44.6,48.1745
44.7,44.7,48.2485
44.8,44.8,48.3224
44.9,44.9,48.3961
45,45,48.4697
45.1,45.1,48.5431
45.2,45.2,48.6163
45.3,45.3,48.6893
45.4,45.4,48.7622
