u_e,v_1
-94.0,24.0538
-93.89999999999999,24.0973
-93.8,24.1407
-93.7,24.1841
-93.60000000000001,24.2276
-93.5,24.2711
-93.39999999999999,24.3145
-93.3,24.358
-93.2,24.4015
-93.10000000000001,24.445
-93.0,24.4885
-92.89999999999999,24.532
-92.8,24.5755
-92.7,24.619
-92.60000000000001,24.6626
-92.5,24.7061
-92.39999999999999,24.7496
-92.3,24.7932
-92.2,24.8367
-92.1,24.8802
-92.0,24.9238
-91.89999999999999,24.9673
-91.80000000000001,25.0109
-91.7,25.0544
-91.6,25.098
-91.5,25.1416
-91.39999999999999,25.1851
-91.30000000000001,25.2287
-91.2,25.2723
-91.1,25.3158
-91.0,25.3594
-90.89999999999999,25.403
-90.80000000000001,25.4466
-90.7,25.4901
-90.6,25.5337
-90.5,25.5773
-90.39999999999999,25.6209
-90.30000000000001,25.6644
-90.2,25.708
-90.1,25.7516
-90.0,25.7951
-89.89999999999999,25.8387
-89.80000000000001,25.8823
-89.7,25.9258
-89.6,25.9694
-89.5,26.0129
-89.39999999999999,26.0565
-89.30000000000001,26.1
-89.2,26.1436
-89.1,26.1871
-89.0,26.2307
-88.9,26.2742
-88.8,26.3177
-88.7,26.3613
-88.6,26.4048
-88.5,26.4483
-88.4,26.4918
-88.3,26.5353
-88.2,26.5788
-88.1,26.6223
-88.0,26.6658
-87.9,26.7093
-87.8,26.7527
-87.7,26.7962
-87.6,26.8397
-87.5,26.8831
-87.4,26.9266
-87.3,26.97
-87.2,27.0134
-87.1,27.0569
-87.0,27.1003
-86.9,27.1437
-86.8,27.1871
-86.7,27.2305
-86.6,27.2739
-86.5,27.3173
-86.4,27.3606
-86.3,27.404
-86.2,27.4473
-86.1,27.4907
-86.0,27.534
-85.9,27.5773
-85.8,27.6206
-85.7,27.6639
-85.6,27.7072
-85.5,27.7505
-85.4,27.7937
-85.3,27.837
-85.2,27.8802
-85.1,27.9235
-85.0,27.9667
-84.9,28.0099
-84.8,28.0531
-84.7,28.0962
-84.6,28.1394
-84.5,28.1825
-84.4,28.2257
-84.3,28.2688
-84.2,28.3119
-84.1,28.355
-84.0,28.398
-83.9,28.4411
-83.8,28.4841
-83.7,28.5271
-83.6,28.5702
